Date,Open,High,Low,Close,Volume,Adj Close
2015-01-07,5.00,5.10,4.95,5.04,810596700,5.04
2015-01-06,5.00,5.36,4.95,5.10,1497561500,5.10
2015-01-05,4.97,5.15,4.92,5.06,1365851700,5.06
2015-01-02,4.87,4.87,4.87,4.87,000,4.87
2015-01-01,4.87,4.87,4.87,4.87,000,4.87
2014-12-31,4.73,4.92,4.65,4.87,1050294700,4.87
2014-12-30,4.61,4.78,4.57,4.71,696602700,4.71
2014-12-29,4.78,4.82,4.55,4.61,886266700,4.61
2014-12-26,4.47,4.64,4.45,4.62,670773400,4.62
2014-12-25,4.38,4.50,4.34,4.46,549303000,4.46
2014-12-24,4.51,4.53,4.26,4.33,624579700,4.33
2014-12-23,4.60,4.67,4.46,4.48,778303200,4.48
2014-12-22,4.46,4.80,4.46,4.71,1746555000,4.71
2014-12-19,4.34,4.45,4.31,4.41,605437600,4.41
2014-12-18,4.46,4.47,4.32,4.35,548007300,4.35
2014-12-17,4.27,4.52,4.21,4.47,996465500,4.47
2014-12-16,4.16,4.27,4.14,4.25,472326600,4.25
2014-12-15,4.18,4.19,4.07,4.13,342045000,4.13
2014-12-12,4.22,4.30,4.18,4.21,313792700,4.21
2014-12-11,4.21,4.31,4.17,4.20,372197300,4.20
2014-12-10,4.17,4.33,4.07,4.30,616082500,4.30
2014-12-09,4.54,4.62,4.17,4.20,1137161000,4.20
2014-12-08,4.49,4.75,4.38,4.63,871306300,4.63
2014-12-05,4.30,4.68,4.22,4.59,1024644400,4.59
2014-12-04,4.10,4.28,4.08,4.27,713784400,4.27
2014-12-03,4.16,4.26,4.08,4.10,648892200,4.10
2014-12-02,3.98,4.22,3.96,4.18,667799100,4.18
2014-12-01,4.05,4.16,4.00,4.01,650680700,4.01
2014-11-28,3.83,4.05,3.82,4.04,853707100,4.04
2014-11-27,3.84,3.85,3.81,3.83,306435900,3.83
2014-11-26,3.77,3.82,3.75,3.82,248996400,3.82
2014-11-25,3.73,3.79,3.72,3.77,160306800,3.77
2014-11-24,3.70,3.78,3.68,3.73,175637200,3.73
2014-11-21,3.69,3.75,3.67,3.73,111465900,3.73
2014-11-20,3.68,3.70,3.65,3.68,92372300,3.68
2014-11-19,3.70,3.72,3.67,3.69,107967600,3.69
2014-11-18,3.79,3.80,3.71,3.72,152253300,3.72
2014-11-17,3.88,3.89,3.74,3.75,217102200,3.75
2014-11-14,3.78,3.79,3.74,3.78,131953200,3.78
2014-11-13,3.76,3.83,3.75,3.76,186477400,3.76
2014-11-12,3.78,3.78,3.72,3.76,177572900,3.76
2014-11-11,3.69,3.92,3.69,3.81,559821600,3.81
2014-11-10,3.60,3.67,3.59,3.67,192955600,3.67
2014-11-07,3.56,3.61,3.54,3.57,140102500,3.57
2014-11-06,3.58,3.59,3.54,3.57,117359900,3.57
2014-11-05,3.64,3.65,3.57,3.58,197428200,3.58
2014-11-04,3.63,3.66,3.61,3.64,105104200,3.64
2014-11-03,3.67,3.67,3.62,3.63,127058000,3.63
2014-10-31,3.59,3.69,3.59,3.66,216995500,3.66
2014-10-30,3.55,3.60,3.54,3.59,148966400,3.59
2014-10-29,3.52,3.56,3.51,3.54,112721500,3.54
2014-10-28,3.49,3.53,3.49,3.52,57510800,3.52
2014-10-27,3.51,3.52,3.48,3.49,66899600,3.49
2014-10-24,3.51,3.53,3.50,3.52,76048400,3.52
2014-10-23,3.50,3.53,3.49,3.52,93150300,3.52
2014-10-22,3.50,3.53,3.50,3.50,89346900,3.50
2014-10-21,3.52,3.52,3.49,3.51,65645000,3.51
